titulo;autor;texto
VI - TENEBROSA;Alberto de Oliveira;"Tu és como as visões de um cérebro doente.
Tens no teu grande amor o filtro da serpente.
O arsênico do Mal matou-te o coração.
Tu vives sem saber se acaso existe ou não 
O arcanjo da Fé, o querubim da Crença.
O Tédio te envolveu nas asas da doença.
Tu és como um Calvário onde não há mais cruz, 
D’onde roubou-se o Cristo e se extinguiu a luz.
Há as tristezas de um claustro, a solidão profunda, 
No teu céu sem clarões, no ar que te circunda.
O silêncio do chão em que se vai pousar 
Um féretro, essa paz sinistra, tumular,
O silêncio da dor que enrosca-se à caveira,
Tem antenas p’ra ti, prende-te a vida inteira.
Tu és um lago escuro, um pantano fatal;
Em ti só cresce um lírio — a negra flor do Mal; 
Tens no teu seio a Morte, e a superfície calma 
Anda sempre a esconder-me o que te corre n’alma! 
Secas-te ao sol, à chuva, aos cânticos do dia, 
Assim como se extingue e se esvaece e esfria 
Uma lágrima negra em pálpebra de gelo.
Tu és a encarnação de um torvo pesadelo,
Ligado à minha sombra e preso à minha dor;
És da Morte e da cova, e és do meu amor!
Que sejas triste, embora, e sejas muda, muda...
Que a Dor crave-te mais sua lanceta aguda,
Que o Mal te dilacere e a Febre te ajoelhe,
Que a figura da Morte o teu semblante espelhe, 
Que morda-te da Angústia a garra envenenada, 
Que escutes a descer das solidões do Nada,
Como um velho tambor rufando compassado,
As músicas do Horror!... Que morras!
— Ao teu lado, 
Aqui, em toda parte, a te seguir asinha,
Minha serás, mulher! eternamente minha!"
VII - O COLAR;Alberto de Oliveira;"Oh! quanto és bela agora 
A um raio que te beija 
A fronte onde branqueja 
A pérola da aurora!
Beija-te os pés e chora 
A fonte, e lacrimeja!
Que tudo e o céu te veja! 
Oh! quanto és bela agora!
Do mármor’ na bancada 
A mão de uma alvorada 
Aí deixou ficar,
— Mimo da luz à flor, — 
De lágrimas de amor 
Um lúcido colar!"
VIII - À SOMBRA DAS ÁRVORES;Alberto de Oliveira;"É esplêndida a alameda! 
Ao grande olhar divino 
O canto matutino 
Entoa Rig-Veda!
Esvoaçando leda,
Ao matinal destino,
A cada flor um hino 
A viração segreda !
Escorrem como a medo 
Das franças do arvoredo 
As lágrimas de um astro!
Oh! doce maravilha!
Vai tu colhê-las, filha,
Ao colo de alabastro!"
IX - QUADRO ANTIGO - A TEÓFILO DIAS;Alberto de Oliveira;"Da selva era que se abre o cactus, 
E onde o coqueiro esguio 
Remira os longos espatos 
No mole espelho do rio,
O amor por vezes eu libo, 
Na fantasia serena, 
Sonhando a filha morena 
De alguma guerreira tribo.
É à calma de um dia ardente: 
Arqueja o jaguar com sede... 
Oh! quem me dera essa rede 
Que está de um ramo pendente!
— Índia dos bosques em paz, 
Que noite na tua coma!
E sob teus pés que aroma 
Nas flores do sassafraz!
Mas quem de tão ledos brilhos 
Esta paisagem me traça,
Se estão, há muito, teus filhos 
Extintos, cabocla raça!
Por muitas vezes eu libo 
Essa quimera serena...
— Ah! flor das tabas morena, 
Que é feito de tua tribo?"
X - O PRIMEIRO BEIJO;Alberto de Oliveira;"Ao seio bom das plantas, 
Ao seio perfumado 
Envia um beijo amado,
 Ó sol que te alevantas!
 Do amor divinizado 
As harmonias santas 
Cantai, cantai no prado, 
Ó matinais gargantas!
Esplenda à luz, ao canto,
O que há de puro e santo;
Eleve-se a espiral!
Que eu beijo-te, mimosa, 
A alvura cetinosa,
O seio virginal!"
XI - VISÃO DAS RUÍNAS - A L. NICOLI.;Alberto de Oliveira;"A história dos falsos deuses, 
Suas míticas legendas;
As tradições apagadas,
As velhas extintas lendas; 
Os caídos monumentos,
Já sem plinto e sem fachadas; 
Os alcaçares sombrios,
Onde os gênios erradios 
Vinham na alma dos ventos 
Chorar o amor dos heróis 
E o romance das rainhas;
Os palácios derrocados,
Ermos, sinistros e sós,
Na muda noite plantados; 
Castelos já sem ameias,
E os mochos e as andorinhas, 
Ensombrando os pavimentos; 
As subterrâneas moradas 
De largos assombros cheias;
As vastas fundas escadas,
Os silenciosos retiros,
As agrestes solidões,
Donde escapavam suspiros 
E as brancas aparições;
Todas as velhas baladas,
Todas as trágicas lendas,
Todas aquelas imagens 
Ruinosas, frias, tremendas, 
Sinistras e desoladas;
Através de cada idade,
Do tempo à gasta ampulheta, 
Como Valmeyars que giram,
Têm um lago onde refletem-se, 
Um espelho aonde se miram, 
Maior do que a imensidade:
— É o coração do poeta!"
XII - INTERIOR - A TOMÁS ALVES FILHO;Alberto de Oliveira;"Seria pouco mais de uma da madrugada.
Um filho, um’alma em flor,
Louro, angélico e puro,
Despertando àquel’hora, a medo, pelo escuro, 
Pôs-se a chorar, chamando à lágrima arrastada 
Por um nome que é paz, conforto, luz e amor.
— Mãe!
E então a essa voz, que a toda e qualquer hora 
O coração escuta,
Do leito conjugal a pálida madona,
Casta, doce, impoluta,
Como um sonho infantil, meiga como uma aurora, 
Se ergue, toma as mãos, os cândidos bracinhos, 
Pendurados do berço,
O corpo, aquela flor nascida de uns carinhos,
E ungindo-o de luz, no seu olhar imerso,
Aos seios o conchega.
Oh! grande e eterno amor!
Qual é mais do que tu? Ao teu supremo encanto, 
Sente aquele que chora as bagas de seu pranto 
Transmudarem-se em luz de um mago resplendor!
Um raio de luar 
Baixou, como o clarão que desce de um altar,
Por uma fresta, e ali permaneceu brilhante.
Àquela nívea luz,
Ao fundo, — enquanto a mãe amamentava o infante, 
Brilhava o corpo nú de um lívido Jesus!
E, ah! talvez, quem sabe? àquele mesmo instante, 
Em algum beco escuro,
Os torpes libertinos das vielas 
Um jato salivado de impropérios 
Cuspiam às estrelas! 
Enquanto à luz dos lampiões funéreos,
— Como sombras num chão de bacanal,
Uns cães magros uivavam tristemente,
Trotando o lamaçal!"
XIII - ONDULAÇÕES;Alberto de Oliveira;"À flor da vaga errante em placidez oscila 
Um barco triste e escuro, ao mar abandonado: 
Banha um luar de jaspe o firmamento arqueado 
A noite é calma e doce, a viração tranquila.
E àquela claridade incerta e duvidosa 
Brilha a esteira da espuma, o rasto luminoso; 
E o navio sem dono e plácido e moroso,
Vai na onda imprimindo a sombra silenciosa.
De onde vem? quem o leva e qual seu rumo e porto?
Ah! quanta vez também num mar ilimitado, 
Enquanto o ar é puro e o páramo estrelado,
Não boia o coração silencioso e morto!"
XIV - TRIUNFO SATÂNICO - A PEDRO PAULO DO AMARAL.;Alberto de Oliveira;"Ao voltar uma vez do casarão sagrado, 
Onde a levava sempre o seu amor piedoso, 
Unido a um nome vil um ramo perfumoso 
Entre as folhas achou de seu missal doirado.
Àquela sedução do estúpido Pecado 
O fantástico olhar não lhe brilhou trevoso; 
O mimo arrebatando ao seio religioso, 
Guardou-o nas paixões do seio delicado.
O bom templo de Deus sentiu a mão profana 
Desse crime cruel. Naquelas sedas pretas 
Já não lhe havia um’alma!
Hosana! hosana! hosana!
Soltem-se, pois, ao Mal as bárbaras grilhetas!
Tu só frágil não és, ó criatura humana! 
— Satan comprou Jesus com um ramo de violetas."
XV - NA ALAMEDA - A MARIANO DE OLIVEIRA;Alberto de Oliveira;"Pela alameda sombreada e fresca 
Eu e ela, ela um tanto romanesca,
Um tanto aérea quase, íamos indo...
Estava o dia lindo 
E aos nossos pés na mole úmida areia, 
Vestindo uns tons de ocre, um quase louro, 
Uns fragmentos do sol das cinco e meia 
Luziam semeados,
Como pedaços de ouro.
Uns grupos mitológicos de gesso, 
Aqui, além dispersos,
Uns de um lago na margem, 
Outros à sombra, em doce paz imersos, 
Ao nosso andar surgiam,
Como imprudentes Sátiros que riam, 
Espreitando entre os claros da folhagem.
A rua um tanto morta,
O ar calmo, parado,
De um pequeno chalet romantizado 
Ouvíamos fugindo pela porta 
Os sons duma ária soluçada ao piano! 
Mas além, para o mar,
Talvez do férreo cano 
De alguma embarcação, subia às vezes 
Um som vibrante que acordava o ar.
— As mãos postas nas minhas:
Se tivéssemos asas! Se um só dia 
Fossemos nós quais são as andorinhas! 
E me falou da Itália;
Era o seu ideal! Por noite fria 
Um passeio no golfo, quando extático 
O céu azul esplêndido se espalha 
Se negligenciando no Adriático!
E sua voz rítmica, suave,
Cheia do fluido de um celeste beijo,
Doce como a harmonia, 
Punha-me n’alma o vago de um desejo, 
O desejo de ter, como dizia,
Asas assim como as que tem um’ave!
Fomo-nos esquecendo brandamente 
Da doirada ilusão.
Daquela douda, fugitiva imagem;
Ela falou do lar: deixá-lo? Não! 
Eu lhe falei do tédio da viagem.
A tarde sobre as árvores ruidosas 
Punha os sons de umas músicas saudosas,
Um como anseio langue;
Do repuxo até nós chegava o choro; 
Ia findando o dia 
Com uma tristeza mórbida, sombria,
E longe, longe, alfinetado de ouro 
Tombava o sol, como um borrão de sangue!"
