titulo;autor;texto
POEMA - INTRODUÇÃO - PARTE XI;Luís Guimarães Junior;"da Alemanha têm feito música, Dessauer,
Schubert, Schumann: e é um prazer ouvi-las já modificadas ao dizer plebeu, nos
trabalhos do campo, nas vindimas do Reno, no interior das cabanas, ao serão, à
saída da escola, e pelas ruas, nos templos e nas quermesses. Henri Blaze,
pensando numa renovação de moldes para a poesia lírica francesa,
recomendava aclimar-se o lied para cá do Reno. Quanto a nós, João de Deus
atingiu admiravelmente este gênero de composição, nas Loas à Virgem e no Era
Já Noite Cerrada, gênero que Campoamor sabe vestir com uma graciosa
simplicidade. Mas como generalizar hoje uma tal poesia, quando o espírito não
tem mais o perfume da adolescência, e a frescura das idades primaveris?
O lirismo profundo morre pois falto de condições sociais que o impulsionem e
fecundem. Pode guardar-se donde aonde, por um prodígio de cultura, no
coração de algum destes sublimes eremitas, estacionados à margem do tumulto
moderno, assim como, num frígido país, a planta tórrida consegue medrar, por
excessivos cuidados, na calafetada estufa que lhe há de ser cárcere por toda a
vida. Compreende-se de feito que um homem passeado pela vida artificial dos
cafés, dos teatros, das redações, do parlamento, das salas e das capitais esteja
autenticamente incapaz de se transfigurar, por exemplo, na"
POEMA - INTRODUÇÃO - PARTE XII;Luís Guimarães Junior;"Adoração que abre
as Folhas Soltas do nosso adorável João. Quando muito, terá ele mais lapidada a
estrofe, desesperando, à força de correção, os que venham para atingi-lo ou
imitá-lo. No fundo, porém, o sentimento andará dinamizado ou artificialmente

posto em jogo; e em vez do eterno amor dominativo e panteísta, a obra revelar-
nos-á um ceticismo elegante, uma índole romanesca, incapaz de ser dominada

pela paixão, um lírico da decadência, melhor: um parnasiano. Luís Guimarães é
um parnasiano.
Parnasiano, disse eu, como Armand Silvestre e como Theodoro de Bainville, no
esforço de renascença poética do Portugal contemporâneo. Desde que a função
crítica da análise se tornou início e fundamento de toda a educação atual, o
nosso tempo destronou a inspiração pela reflexão e substituiu os profetas pelos

sábios. Os mesmos poetas começaram de escrever em prosa os seus poemas,
primeiro que os fossem instrumentando nas cadências musicais do metro; e
forraram duma utopia ou duma ideia filosófica todos os assuntos que se
propuseram vestir na púrpura dos ritmos poéticos. Ides supor que uma arte
assim crucificada sobre a reflexão não tenha podido ser fecunda em criações de
grande fôlego — senão comece de estiolar-se em bastardias pálidas, de cujas
ramificações provenham livros inexpressivos"
POEMA - INTRODUÇÃO - PARTE XIII;Luís Guimarães Junior;", doentios, impertinentes,
histerizados num bizantismo de requinte, e de todo o ponto exangues porque
lhes falte a paixão. No romance, o À Rebours e a Manette Salomon. Em poesia,
as Nevroses e os Soirs Moroses. Seja. Entanto, uma tal arte fotografa a alma
atual. Primeiro, é adorável como entidade: tem a sutileza hipócrita, a afetação
elegante, uma esplêndida toilette: e mente bem, e é delicioso, hão de confessar,
ser-se iludido por uma criaturinha daquela provocadora distinção. Depois, tudo
nela vem pautado e rescendendo a mise-en-scène, o menor gesto que ela
esboce, a mais ligeira palavra que ela diga, o amor, o ódio, a nostalgia, o
ciúme... Não procurem todavia forçar-lhe o limite de sinceridade para que foi
feita. Um passo além, desmanchar-lhe-ia a caracterização de musa olímpica: e
veríamos por baixo a grizette fazendo pied-de-nez à galeria.
Se eu quisesse agora inferir do homem físico uma constituição psicológica que
viesse explicar-me a obra do artista, tracejaria de Guimarães a longa biografia
de esforços, viagens e empreendimentos que o trouxeram coroado príncipe,
volvidos anos, ao doce país polar da mais aristocrática das artes, a poesia. A lei
de Taine, tão nitidamente científica,"
POEMA - INTRODUÇÃO - PARTE XIV;Luís Guimarães Junior;"pela qual se estabelece a mútua
dependência entre uma dada literatura e uma dada sociedade, dissecar-me-ia
esta entidade de escritor que irrigaram as influências fatais da raça, do meio e
do momento.
É um americano, móvel de fisionomia e de caráter, precipitado, pressentido,
ardente, e incapaz de concentrar-se num assunto por mais de algumas horas.
Daí talvez a sua predileção pelo soneto. A viveza estranha da sua máscara
estereotipa e reflete a impressionativa feminilidade do seu talento. Tem, na
beleza física dum tribuno, os olhos terríveis dum domador de feras: e como as
vidraças duma galeria de palácio, deixando transudar iluminadas, a
magnificência orgíaca das salas, músicas de orquestra, e centenares de pares
remoinhando em cotillons, assim direis que as pupilas dele, cintilando entre as
íris de fibrilhas frenéticas, nos fazem assistir ao carnaval furioso da sua
imaginação de sobre-excitado.
Os adocicados de origem que na pronúncia tem sabido guardar este homem,
por um orgulho talvez de patriota, e malgrado o afastamento da pátria, longos
anos, dão-lhe à conversa essa ternura melíflua e põem no ouvido essa bizarra
sensualidade, que fizeram do brasileiro falado um dialeto do português, e
contra cuja fixação definitiva na língua a literatura escrita todos os"
POEMA - INTRODUÇÃO - PARTE XV;Luís Guimarães Junior;"dias protesta,

na sua teimosia de ainda insinuar a velha preponderância portuguesa, na
constituição da jovem nacionalidade[3].
Guimarães sabe a pitoresca impressão que produz falando assim. Aquela
soutache poética que a boca emite articulando os beiços em buraco de flauta, e
nos plurais sifla os ss como uma chuva de orvalho caída de néctares de fúcsias,
sobre as divinas mãos de uma mulher: aquelas construções gramaticais, onde o
pronome precede o verbo, como em Me disse, Me adora... e em que os finais
das palavras se retraem pela omissão dos sufixos característicos, como em
sinhá, cantá (cantar)... — alvo da troça, aquela soutache, na pronúncia dum
grosseiro colono repatriado — na língua dum fino artista e na palestra duma
rapariga de salão, ela quer dizer uma condensação de graça fonética — introduz
modulações, veludosidades, carícias, que exornam de um requinte novo, duma
incrustação, duma rocaille, a nossa velha língua mãe, e por muito tempo deixam
na orelha a difusão da mais voluptuosa sinfonia.
Uma tal linguagem parece feita para ser falada em cortes de amor: há nela
preguiças, começos de ais, frou-frous de roupas, titilações... Cada mestiçagem
lhe insinua uma sutil volúpia, uma angústia nova e divina: e"
POEMA - INTRODUÇÃO - PARTE XVI;Luís Guimarães Junior;"sentem-se balbuciar
na sua trama as virgindades duma raça que desperta ainda, sem passado, como
as crianças, monossilabando reminiscências de sonhos heroicos e translúcidos.
Agora junte-se a esta feição da língua a excelsa glória da paisagem, que a luz
alaga, e a caprichosa natureza sabe vestir em formas fantasiosas, árvores,
montes, baías, catadupas... Lá, onde a calma aperta, e cantam as aves mais
extraordinárias da terra, e se ouvem as núpcias da seiva, caule a caule, na
misteriosa alcova das florestas, o espírito, naturalmente exaltado à
contemplação, deriva por seu turno na cheia sensual desses titânicos e cósmicos
amores. Filho de colono, o brasileiro guarda na alma a indefinida nostalgia que
vira bruxulear nos olhos dos pais. A mesma criação opulenta que o cerca, o
humilha e acabrunha: entanto, as paixões dela propagam-se-lhe ao sangue em
efervescências insofridas, e um gulf-stream de magnéticos amplexos o arrasta
no vortilhão das monstruosas e sagradas gestações da natureza. Assim, o poeta
é lá um produto do clima e do solo, como os frutos, como as flores. Nem quase
cultivá-lo é necessário.
Em Luís Guimarães, está de ver, todas estas determinantes convergiam a
impulsionar-lhe o talento. Em 1869,"
POEMA - INTRODUÇÃO - PARTE XVII;Luís Guimarães Junior;"ao formar-se em Direito, na escola de
Pernambuco, contava já na bagagem literária dois volumes de versos: Corimbos,
composições soltas, e o poemeto Mont’Alverne. Estou a pensar que
Mont’Alverne não arrojará o poeta para excessivas culminâncias artísticas.
Entanto os Corimbos elucidam-nos à farta sobre as nativas qualidades da sua
inspiração.

Ali pululam blandícias e ardores duma natureza essencialmente amorosa, a que
a melancolia presta o seu colorido romântico. Ali bate pulso uma insofrida febre
de ideais, e ânsias de paixão donde se vê golfando uma seiva inesgotável. Neste
livro de lírico, em cujos ditirambos rebrilham, numa espécie de petulância, as
indecisas graças da mocidade, edita-se a alma virgem de contatos, duma
selvageria sincera e duma insaciável virulência amantética — alma sonora de
americano, cheia de ímpetos, onde ao mesmo tempo tivessem deixado
ressonância o gemer da araponga e o rugir do leão, o cântico e o grito: e entre
ambos, toda a vastíssima gama das emoções intercalares.
Vejamos agora os seus livros de prosa, dessa época. Eles confirmam as
características que nos Corimbos apontei. De quase todos eu conheço páginas.
A forma é fluida, abundante, irisada de ornatos, pouco refletida, ev"
POEMA - INTRODUÇÃO - PARTE XVIII;Luís Guimarães Junior;"ocativa
porém, e fazendo lembrar pela contextura fácil Júlio Machado e Manoel
Roussado, seus contemporâneos e amigos. As suas crônicas e fantasias literárias
afiguram-se-me pequeninas obras de acaso, feitas numa aberta de mais sérios
trabalhos, e brilhando apenas pela ironia benigna, e saltitante esmalte da
adjetivação. Nos contos, a intriga decorre para assim dizer do humor ocasional
do contista, no momento da concepção; tipos simples, situações de pura
idealidade poética, diálogos onde o recorte literário predomina: e toda a
paisagem de roda, não conseguindo fazer atmosfera intelectual à tensão
dramática do assunto, que não existe, fica para assim dizer um motivo repetido
em surdina, na orquestra do descritivo, e avulta no quadro como um pormenor
decorativo simplesmente, poetizado, alindado, lembrando os tons lilases dum
sanguíneo visto por trás dumas lunetas cor de azul. Entanto a nota amorosa,
dominadora do caráter do artista, atinge aqui por vezes o arroubamento lírico,
emprestando então à narrativa um tom de sinceridade que provoca o interesse.
A minha conclusão é pois esta:
O isolamento na pátria, entre as ubérrimas maravilhas do solo e as visões
interiores do seu espírito, tão finamente idealista, cedo ou tarde teriam
arvorado Luís Guimarães num dos mais profundos poetas líricos do nosso
tempo."
POEMA - INTRODUÇÃO - PARTE XIX;Luís Guimarães Junior;"Tudo leva a profetizar que assim fosse — aquela sua compleição idílica,
o seu poder de evocação a distância, uma sensibilidade dolorosa e feminil, e a
fantasia cálida extravasando de invenções. O homem do mundo veio atenuar
porém estas primitivas tendências do doce arrulhador de doloras maviosas.
Flutuações de viagens despolarizaram-lhe o espírito da singeleza nativa:
convívios de cortes e museus, mil acasos enfim do dandismo diplomático lhe
foram desviando a sinceridade para uma espécie de risonho ceticismo.
Em 1880 vamos encontrar Luís Guimarães na Embaixada de Roma. Roma era a
última estação duma série de residências que o poeta realizara, junto de todos
os centros de inteligência europeia, através de cujas maravilhas, pudera
exercitar as suas faculdades de artista vibrante e progressivo.

Entre os Corimbos e os Sonetos e Rimas, de que a primeira edição viu luz em
Roma (1880), aquelas viagens põem um interregno no furor de publicidade de
que Luís Guimarães parecia acometido. Mas ao fim delas o americano está
transfigurado num prodigioso cinzelador de melodias, destro, flexuoso,
elegantíssimo; sabendo casar as mais raras graças nas mais fidalgas fantasias, e
graduando a impressão com um tato de ator e gentil-homem a quem não
convém desmanchar a linha impecável de"
POEMA - INTRODUÇÃO - PARTE XX;Luís Guimarães Junior;"artista. Especialmente Roma, com a
sua grande área de monumentos, onde caem no chão, truncadas sob uma luz de
atelier, as memórias de muitas civilizações triunfadoras: Roma antolhar-se-ia ao
poeta como a última e recapituladora lição duma série de preleções sobre o
belo ideal nas suas profusas revelações através da arte. Ela lhe deu ao verso,
talvez, uma academia de melhor gosto, nada rígida, nada comum, e salvando-se
pela nobreza desse chic de ocasião, que, passado de moda, invalida e torna
efêmera obra dum grande número de escritores.
Vênus sem braços! Divinal grandeza!
Abençoada seja a mão calosa,
Que te arrancou à entranha criminosa
Da terra...
Ou como na “Borralheira”:
Meigos pés pequeninos, delicados
Como um duplo lilás, — se os beija-flores
Vos descobrissem entre as outras flores,
Que seria de vós, pés adorados!
Luís Guimarães ficará pois na poesia portuguesa como o Massenet do soneto,
exasperado de perfeição plástica, e acusando no mordido da forma a paciência
dum buril seguro do que pretende. O mistério de sedução da sua poesia está
antes de tudo no modernismo que dela ressumbra, e na sua atualidade perante
o público que a compulsa e lhe dá voga: público cético e blasé, que, tendo visto,
baquear todas as sortes de"
