titulo;autor;texto
BEMDITA;Auta de Souza;"Bemdita sejas, minha mãe, bemdito
Seja o teu seio, immaculado e santo,
Onde derrama as gottas de seu pranto
Meu dolorido coração afflicto.

O’ minha mãe, ó anjo sacrosanto,
Bemdito seja o teu amor, bemdito!
Ouve do Céo o amargurado grito
Cheio da dor de quem soluça tanto.

E deixa que repouse em teus joelhos
A minha fronte, ouvindo os teus conselhos
Longe do mundo, ó sempiterna dita!

Envia lá do Ceo no teu sorriso
A morte que levou-te ao Paraiso...
Bemdita sejas, minha mãe, bemdita!"
BOHEMIAS;Auta de Souza;"Quando me vires chorar
Que sou infeliz não creias;
Eu choro porque no Mar
Nem sempre cantam sereias.

Choro porque, no Infinito,
As estrellas luminosas
Choram o orvalho bemdito,
Que faz desbrochar as rosas.

Do labio o consolo santo
E’ o riso que vem cantando...
O riso do olhar é o pranto:
Meus olhos riem chorando.


O seio branco da aurora
Derrama orvalhos á flux...
O cirio que brilha, chora:
A dôr também fere a luz?

Teus olhos cheios de ardores
Aninham rosas nas faces...
Que seria dessas flores
Responde, se não chorasses?

Sou moça e bem sabes que
A moça não tem martyrios;
Se chora sempre é porque
Pretende imitar os lirios.

Emquanto eu viver no mundo,
Meus olhos hão de chorar...
Ah! como é doce o profundo
Soluço eterno do Mar!

Do labio o consolo santo
E’ o riso que vem cantando...
O riso do olhar é o pranto:
Meus olhos riem chorando."
AO CAHIR DA NOITE;Auta de Souza;"Não sei que paz immensa
Envolve a Natureza,
N’ess’hora de tristeza,
De dor e de pezar.
Minh’alma, rindo, pensa
Que a sombra é um grande véo
Que a Virgem traz do Céo
N’um raio de luar.

Eu junto as mãos, serena,
A murmurar contricta,
A saudação bemdita
Do Anjo do Senhor;
Emquanto a lua plena
No Azul, formosa e casta,
Um longo manto arrasta
De lurido esplendor.


Minhas saudades todas
Se vão mudando em astros...
A magua vae de rastros
Morrer na escuridão...
As amarguras doudas
Fogem como um lamento
Longe do Pensamento,
Longe do Coração.

E a Noite desce, desce
Como um sorriso doce,
Que em sonhos desfolhou-se
Na voz cheia de amor,
Da mãe que ensina a Prece
Ao filho pequenino,
De olhar meigo e divino
E labio aberto em flor.

Ah! como a Noite encanta!
Parece um Sanctuario,
Com o lindo alampadario
De estrellas que ella tem!
Recorda-me a luz santa,
Immaculada e pura,
Da grande noite escura
Do olhar de minha Mãe!


O’ Noite embalsamada
De castas ambrosias ..
No mar das harmonias
Meu ser deixa boiar.
Afasta, ó Noite amada,
A duvida e o receio,
Embala-me na seio
E deixa-me sonhar!"
CAMINHO DO SERTÃO;Auta de Souza;"Tão longe a casa! Nem siquer alcanço
Vel-a atravez da matta. Nos caminhos
A sombra desce; e sem achar descanço
Vamos nós dois, meu pobre irmão, sosinhos!

E’ noite já. Como em feliz remanso
Dormem as aves nos pequenos ninhos...
Vamos mais devagar... de manso e manso,
Para não assustar os passarinhos.

Brilham estrellas. Todo o céo parece
Rezar de joelhos a chorosa prece
Que a Noite ensina ao desespero e á dôr...

Ao longe, a Lua vem dourando a treva...
Thuribulo immenso para Deus eleva
O incenso agreste da jurema em flôr."
OS CANARIOS;Auta de Souza;"Queriam-se na paz indefinida
      Das almas que são puras,
Cheios de amor, de luz e de carinhos,
Eles passavam docemente a vida,
      Isentos de amarguras.
Então sorriam, sem pensar que a morte
Inda podia lhes mudar a sorte.
      E sempre eles cantavam
      Se no espaço adejavam!

      Ao despontar da aurora
Chalravam, procurando, estrada a fora,
      O alimento do dia.
      Saltando de alegria
Assim voltavam conversando a medo
E pousavam, alegremente, rindo,
      Nos ramos do arvoredo.


Eu quisera saber o seu segredo:
      Devia ser tão lindo!
Depois, ruflando as asas amarelas,
Iam embora... E eu, triste e sozinha,
      Olhava para as belas
Ramagens, onde eles mansamente
      Pousavam à tardinha.

A viração, gemendo docemente,
Vinha beijar as avezinhas puras.

Terminaram, porém, tantas venturas:
      Morreu um passarinho
      Ficou deserto o ninho!

O outro partiu... Não sei onde foi ter;
Talvez bem longe, para, então, morrer,
      Em triste soledade.
      E o meu olhar dorido
Seguiu a ave, pelo pavor ferido.
      Ficava uma saudade!

E murmurei comigo entristecida:
      Ó asa aventureira!
Levas toda a paixão de minha vida,
      Levas minh’alma inteira!


Desde então vivo triste. Às vezes penso
Neste sofrer indefinido, imenso
          D’um pobre coração
Que nas asas do tempo vê voar,
          A chorar,
          A última ilusão..."
CANTAI;Auta de Souza;"Ó vós, que guardais no seio
Com tanto amor e carinho,
— Com o mesmo doce receio
De um’ave que guarda o ninho:

As illusões mais douradas
Que um’alma de moça encerra: —
Cantai as crenças nevadas
Que divinizam a terra;

Cantai a meiga harmonia
Das esperanças em flor,
Cantai a vida, a alegria,
Na lyra santa do amor.


Cantai! O amor é a vida:
— Dizei-o nos vossos cantos —
E’ uma aurora querida
Que desabrocha sem prantos.

Expatriai a saudade,
— O espinho do coração.—
Cantai a felicidade
De uma existencia em botão.

E’ para vós a ventura,
A gloria que o mundo tem...
Que vos importa a amargura
De um’alma que chora além?

Eu tambem irei cantando,
Como vós, meus pensamentos,
Vivendo sempre sonhando
Sem dores e sem tormentos.

E já que não tenho amores,
E nem embalo esperanças...
Canto o perfume das flores,
Canto o riso das creanças."
CANTANDO;Auta de Souza;"Tão mimosa estrella
No Céo hontem vi,
Que minh’alma, ao vel-a,
Pensou logo em ti.

Pensou em ti, santo!
Vendo-a assim brilhar...
Parecia o encanto
De teu doce olhar.

De teu olhar puro,
Meu celeste amor!
Onde o meu futuro
Vai boiando em flor.


Vai boiando, a tôa,
Sem querer parar,
Qual penna que vôa,
Suspensa no Ar.

Suspensa voando
Como um Cherubim
Que passa cantando
Pelo Azul sem fim.

Pelo Azul se esconda
Quem deseja amar,
Qual nuvem, qual onda,
No Céo ou no Mar.

No Céo, si anoitece,
Ninguem vê o Sol...
Mas que importa? A Prece
E’ um rouxinol.

Rouxinol que chora,
Mas sempre a cantar.
Quando nasce a aurora
Tambem canta o Luar.

Tambem canta amores
Um’alma sem luz...
Nunca viste flores
Aos pés de uma Cruz?


Aos pés de Maria,
Gomo é bom rezar!
Que casta ambrosia
Se espalha no altar,

Se espalha no labio!
Sem gosto de fel,
O doce resabio
De um favo de mel.

De um favo tão doce
Como o teu olhar,
Pois nelle encarnou-se
Mimosa, a brilhar...

Mimosa e tão clara,
A estrella que eu vi!
A luz que me aclara,
Quando penso em ti."
CANTIGA;Auta de Souza;"Meu sonho dourado e leve,
Que buscas tu a voar?
Um ninho branco de neve
Onde me deixem cantar.

E em busca das nuvens bellas
Lá vai meu sonho a cantar...
Meu sonho côr das estrellas,
Meu sonho côr do luar.

Pergunto ao sonho, chorando,
Porque foges a cantar?
E elle responde, cantando:
Porque não quero chorar.

E em busca das nuvens bellas
Foi-se meu sonho a cantar...
Meu sonho côr das estrellas,
Meu sonho côr do luar."
NA CAPELLINHA;Auta de Souza;"Entrou na Egreja sorrindo,
Coberta com um fino véo.
O seu rostinho era lindo
Como o da Virgem do Céo.

Foi ajoelhar-se contricta
Ao pé do sagrado altar,
E, com piedade infinita,
Principiou a rezar.

Um doce sorriso veiu
Encher-lhe a bocca de luz.
Uniu as mãos sobre o seio,
Fitou os olhos na Cruz.

O que dizia... Alguem pode
Adivinhar o que diz
A prece que ao labio acode
Emquanto a gente é feliz?


Nessa idade para que
Se reza... (saberei eu?)
A gente reza porque
Tambem se reza no Céo.

E ella, tão meiga e pura,
Que não conhecia o mal,
E que guardava a ventura
No coração virginal;

Em sua fé de creança
Ingenua e cheia de amor,
Talvez pedisse a esperança
Para os que vivem na dôr.

Talvez tivesse gemidos
Para quem vive a chorar,
Para os que vagam perdidos
Nas frias ondas do mar.

E emquanto o labio querido
Orava piedoso assim,
Do negro olhar commovido
O pranto rolou por fim.

E deslisaram sem calma
As bagas por sua tez
No desconsolo de um’alma
Que chora a primeira vez.


Su’alma santa onde moram
A Luz, a Innocencia e o Bem,
Pedindo pelos que choram
Foi soluçando tambem.

E comprehendendo o segredo
D’aquella doce emoção,
Eu disse baixinho, a medo,
Fallando ao meu coração:

Bemditos nós que soffremos
Varados por magua atroz...
Emquanto assim padecemos
Os anjos pedem por nós."
CARLOTA;Auta de Souza;"Quiz bordar teu nome amado
E roubei uns fios de oiro
Das tranças de teu cabello,
Tão longas e perfumadas...
Depois do nome bordado,
Com aquelle cabello loiro,
Cuidei ver o Setestrello
Nas sete lettras douradas."
CELESTE;Auta de Souza;"Eu fiz do Céo azul minha esperança
E dos astros dourados meu thesoiro...
Imagina porque, doce creança,
Nas noites de luar meus sonhos doiro!

Adivinha, si podes, quanto é mansa
A luz que boia sob um cilio de oiro.
E como é lindo um laço azul na trança
Embalsamada de um cabello loiro!

Imagina porque peço, na morte,
— Um esquife todo azul que me transporte,
Longe da terra, longe dos escolhos...

Imagina porque... mas, lirio santo!
Não digas a ninguem que eu amo tanto
A côr de teu cabello e dos teus olhos!"
CHORANDO;Auta de Souza;"Fazia noite... A tristeza
Tudo envolvia em seu véu;
Soluçava a Natureza,
Caía orvalho do Céu.

E n’aquela noite assim,
Tão tenebrosa e tão fria!
A minha mãe se partia
Para o Céu azul sem fim.

Falou-me a chorar: filhinha,
O vício do mundo aterra...
Tu’alma reúne à minha,
Fujamos ambas da terra.

Beijou-me... e, qual sonho doce,
Sua vida evaporou-se.

Ó mãe! por que me deixaste
No mundo sem teu amor?
Sou como o lírio sem haste
Murchando triste inda em flor.

Podias ter-me levado
Ao Céu contigo, divina...
Iria em teu seio amado:
Eu era tão pequenina!

Fiquei sozinha e perdida,
Ó mãe! no mundo de abrolhos...
Na noite de minha vida
Derrama a luz de teus olhos!

Quanta tristeza se encerra
Do mundo no escuro véu!
Não quero morar na terra;
Contigo leva-me ao Céu!"
CIUME;Auta de Souza;"Não brinques ao sol, menina!
É tão preto o teu cabelo,
Que exposto ao sol que ilumina,
Jamais, jamais quero vê-lo.

Não sabes por que, Maria?...
Do sol o brilhante açoite
Só vem à terra de dia
Porque não gosta da noite.

E eu temo que ao ver formoso
O teu cabelo, um tesouro!
O sol, que é tão invejoso,
Não queira torná-lo louro.

Louro, Maria! o repouso
Onde vacilo com a cruz,
O doce abrigo onde pouso
Meus olhos fartos de luz?


Não quero, flor de minh’alma,
Linda esperança em botão...
O dia não é que acalma
As mágoas do coração.

Quando a dor em fúria brusca
Lhe vem magoar o seio,
A treva da noite busca
Para chorar sem receio.

E a minha noite mais pura
No teu cabelo é que eu vejo;
Esqueço toda a amargura
Se a tua cabeça beijo!

E agora, santa, avalia
Que pena teria eu
Se chegasse a ver um dia
O teu cabelo, Maria,
Da cor dos astros do céu!"
CLARISSE;Auta de Souza;"Não sei o que é tristeza,» ella me disse...
E a sua bocca virginal sorria;
Ninho de estrellas, concha de ambrosia
Cheia de rosas que do Céo cahisse!

E eu docemente murmurei: Clarisse,
Será possivel que tu’alma fria
Ouvindo o choro da Melancolia
O resabio do fel nunca sentisse?

Será possivel que o teu seio, rosa,
Nunca embalasse a lagrima formosa?
Ah! não és rosa, pois não tens espinho!

E os olhos teus, dois templos de Esperança,
Nunca viram soffrer uma creança,
Nunca viram morrer um passarinho!"
CONSOLO SUPREMO;Auta de Souza;"« Bem-aventurados os que choram
porque eles serão consolados »
Jesus

Os tristes dizem que a vida
É feita de dissabores
E a alma verga abatida
Ao peso das grandes dores.

Não acredito que seja
Assim como dizem, não...
Ai daquele que deseja
Viver sem uma ilusão!

Se há noites frias, escuras,
Também há noites formosas;
Há risos nas amarguras;
Entre espinhos nascem rosas.


E rosas também cobriram
O lenho santo da Cruz,
Quando os espinhos cingiram
A cabeça de Jesus.

Rosas do sangue adorado
- Fonte de graça e de fé -
Brotando do rosto amado
Do Filho de Nazaré.

⁂

Ó alma triste, chorosa
Como uma dália no inverno,
Despe da mágoa trevosa
O negro cilício eterno!

Enquanto vires estrelas
Do Céu no imenso sacrário,
Na terra flores singelas
E uma Cruz sobre o Calvário;

Enquanto, mansa, pousar
A prece nos lábios teus,
E souberes murmurar
Com as mãos unidas: meu Deus!


Não digas que à luz vieste
Para chorar e sofrer,
E como a plantinha agreste
Sonhar um dia e... morrer...

Não digas, pobre querida!
Mesmo se a dor te magoa;
É sempre feliz na vida
A alma que é purae boa."
O CORAÇÃO E O BEIJO;Auta de Souza;"Meu coração chorava e eu lhe dizia:
Por que choras assim, pobre criança?
E o triste, a soluçar, me respondia:
Ninguém pode viver sem Esperança.

Tu tens a Fé. - A Fé? Mas, o que é d’ela
Sem da Esperança as ilusões serenas?
Um céu à noite sem nenhuma estrela,
Um’alma em flor sem um sorriso apenas...

- Mas tens a Caridade. - A Caridade?
Ah, sim! o vinho que embriaga a dor.
Mas eu não amo... Pois, não é verdade
Que a Caridade é o que se chama - Amor?

Nisto passava uma criança linda,
Botão de lírio, imaculado e santo.
Meu coração que soluçava ainda
Sorriu ao ver o melindroso encanto.


E foi beijar-lhe os pequeninos lábios,
Folhas de rosa abrindo de manhã,
Onde adejavam místicos ressabíos
Dos beijos de uma mãe e de uma irmã...

Compreendeu, então, o desolado
A linguagem sublime d’esse harpejo:
Neste mundo de lágrimas povoado,
A Caridade pode estar num beijo!"
CÔRES;Auta de Souza;"Emquanto a gente é creança
Tem no seio um doce ninho
Onde vive um passarinho
Formoso como a Esperança.

E elle canta noite e dia
Porque se chama: Alegria.

Depois... vae-se a Primavera...
E’ o tempo em que a gente cresce...
O riso se muda em prece,
A alma não canta: espera!

E ao ninho do Coração
Desce outra ave: a Illusão.


Mas esta, como a Alegria,
Nos foge... E fica deserto
O coração, na agonia
Do inverno que já vem perto.

Nas ruinas da Mocidade
E’ quando pousa a Saudade..."
CREANÇAS;Auta de Souza;"Moro na rua da Ventura. Perto,
Há um ninho - é a aula das meninas;
Trazem-me sempre o coração desperto
Os risos dessas almas cristalinas.


Sinto-me alegre. Vivo sem saudade,
Sem, desconforto, sem desesperanças.
Sou bem feliz na minha soledade
Ouvindo o pipilar d’essas crianças.

A’s duas horas ergo-me da banca
Onde medito: vai fechar-se a escola...
Que bem me faz esta algazarra franca
De aves gentis que voam da gaiola!

Gosto de vê-las quando saem rindo
Alegremente, as mansas andorinhas.
São doze ao todo. Que rebanho lindo
De inocentes e castas ovelhinhas!

Vem na frente a maior. Já quase moça,
Olhos azuis e fronte cismadora:
Uma açucena de esquisito louça,
De face cor de neve e trança loura.

É séria e triste. Chama-se Laurita;
Tem uma voz que me seduz e encanta;
Veste sempre de azul e é tão bonita
Com os seus ares de pequena santa!

Passa depois Sophia, uma criança
De olhar mais negro do que a noite escura.
Vive sempre a sorrir como a Esperança,
Vive sempre a cantar como a Ventura!


E aquela doida que lá vai correndo
Em risco de tombar nas pedras duras?
É Lúcia. A vida quer levar fazendo
Todos os dias essas travessuras.

Depois, Sarah e Rebecca... Borboletas
Irmãs no olhar, no rosto e nos vestidos;
São dois anjinhos de madeixas pretas,
Gêmeos sorrisos, corações unidos!

Segue-as a linda e ingênua moreninha
De nome terno e encantador: Dolores,
Uma singela e pálida amiguinha
Que todas as manhãs guarda-me flores.

Hoje, está triste. Nem me deu bom dia!
Deixou cair as rosas pela estrada.
- Que é do teu canto, doce cotovia?
(Reparem ela como vai zangada!)

Desce em seguida a meiga Valentina,
Dez anos tem. Parece um Querubim...
Uma açucena pálida e franzina,
Um encantado e pálido jasmim!

E a Inocência? Vem chorando tanto!
Que te fizeram, minha sensitiva?
Quem foi que os olhos te inundou de pranto,
Quem te causou essa amargura viva?


Já sei: a mestra quis ralhar contigo,
E foi bem feito, colibri travesso!
Fiquei alegre com o teu castigo;
Por que não me dás beijos quando os peço?

Ouço chamar pelo meu nome... É Santa,
Um diabrete muito engraçadinho...
- Soube a lição? - Não me responde, canta...
- Graça inocente, voa para o ninho!

Puxando a trança de Lucília, passa
Celeste, a loura; correm como doidas...
Por que é que tarda a pequenina Garça,
A mais mimosa e mais gentil de todas!

Ei-la! É um anjo a divagar na terra,
Um beija-flor que prendem na gaiola...
Quanta candura o seu sorriso encerra,
Quanta inocência d’esse olhar se evola!

Como eu a amo e que tristeza infinda,
Sinto nos dias em que não a vejo...
Ah! como adoro essa mãozinha linda,
Tão pequenina que parece um beijo!

E eu digo ao ver das criancinhas mansas
O bando alegre e luminoso e forte:
Vós sois no mundo claras esperanças,
Rosas da vida, embalsamando a morte!


O vosso olhar é como um livro aberto
Onde soletro as minhas alegrias...
Oásis santo num cruel deserto,
Negro e sem fim, de fundas agonias.

Em breve as férias chegarão, e eu triste
Quantas semanas vou passar distante
De vosso olhar onde a Candura existe,
De vosso riso claro e hilariante!

E para não ficar tão só, tão louca,
Presa da cisma ao doloroso enleio,
Dai-me as cantigas que levais na boca,
Dai-me as quimeras que guardais no seio!

Pois já suspiro pela aurora mansa
Que há de trazer com o sol do novo ano,
Para a voss’alma mais uma esperança,
Para a minh’alma mais um desengano.

Anjos da terra, flores animadas,
Aves do céu que a chilrear passais...
Como vos quero, evocações amadas
Do meu passado que não volta mais!

Ah, quem me dera os sonhos perfumados
D’aquele tempo de ideal fragrância...
Cantai! cantai! ó rouxinóis sagrados,
Lembrai-me os dias da primeira infância!"
